...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s13,24,Male,0,Once,1.05541724502109
1,s13,24,Male,0,upon,0.8269081301987171
2,s13,24,Male,0,a,0.5046577688772231
3,s13,24,Male,0,time,0.4247295390814543
4,s13,24,Male,0,there,0.4366312350612134
5,s13,24,Male,0,was,0.36798166995868087
6,s13,24,Male,0,a,0.32068756711669266
7,s13,24,Male,0,boy,0.2643753280863166
8,s13,24,Male,0,named,0.2355880909599364
9,s13,24,Male,0,Thomas.,0.21242668898776176
10,s13,24,Male,0,One,0.22539856703951955
11,s13,24,Male,0,day,0.2315768979024142
12,s13,24,Male,0,walking,0.17163466615602374
13,s13,24,Male,0,home,0.22331412695348263
14,s13,24,Male,0,from,0.2240574781317264
15,s13,24,Male,0,school,0.21207332401536405
16,s13,24,Male,0,he,0.21045053913258016
17,s13,24,Male,0,stopped,0.19585344404913485
18,s13,24,Male,0,at,0.2223000570666045
19,s13,24,Male,0,a,0.21698754793033004
20,s13,24,Male,0,red,0.22170198685489595
21,s13,24,Male,0,light,0.4738086818251759
22,s13,24,Male,0,and,0.4990513469092548
23,s13,24,Male,0,took,0.34607156715355814
24,s13,24,Male,0,a,0.27721163094975054
25,s13,24,Male,0,deep,0.2847116691991687
26,s13,24,Male,0,breath.,0.268181944033131
27,s13,24,Male,0,A,0.24531719204969704
28,s13,24,Male,0,tall,0.259602434001863
29,s13,24,Male,0,dark,0.2406639070250094
30,s13,24,Male,0,man,0.23822930990718305
31,s13,24,Male,0,noticed,0.2321226550266147
32,s13,24,Male,0,Thomas',0.266472338931635
33,s13,24,Male,0,explicit,0.2550210340414196
34,s13,24,Male,0,face,0.2263611869420856
35,s13,24,Male,0,expression,0.23656619410030544
36,s13,24,Male,0,and,0.23969818488694727
37,s13,24,Male,0,asked:,0.2415509601123631
38,s13,24,Male,0,"""Are",0.24135060189291835
39,s13,24,Male,0,you,0.21365320100449023
40,s13,24,Male,0,okay,0.22251545009203255
41,s13,24,Male,0,"son?""",0.22721903212368488
42,s13,24,Male,0,Thomas,0.2252667369320989
43,s13,24,Male,0,reacted,0.2383816260844469
44,s13,24,Male,0,with,0.22520982404239476
45,s13,24,Male,0,a,0.216729992069304
46,s13,24,Male,0,little,0.24078553915023804
47,s13,24,Male,0,squeak,0.2470118768978864
48,s13,24,Male,0,and,0.25924114417284727
49,s13,24,Male,0,a,0.2562260520644486
50,s13,24,Male,0,frightened,0.22461738297715783
51,s13,24,Male,0,jump.,0.2303649801760912
52,s13,24,Male,0,He,0.2417190431151539
53,s13,24,Male,0,then,0.2277715660165995
54,s13,24,Male,0,stuttered:,0.24796455609612167
55,s13,24,Male,0,"""My",0.2322756031062454
56,s13,24,Male,0,mom,0.2204491440206766
57,s13,24,Male,0,always,0.2183452129829675
58,s13,24,Male,0,told,0.22712437994778156
59,s13,24,Male,0,me,0.23334893304854631
60,s13,24,Male,0,not,0.2470342351589352
61,s13,24,Male,0,to,0.3741994129959494
62,s13,24,Male,0,talk,0.3009076900780201
63,s13,24,Male,0,to,0.23187306593172252
64,s13,24,Male,0,"strangers"".",0.2318985559977591
65,s13,24,Male,0,The,0.2539188670925796
66,s13,24,Male,0,tall,0.24231609608978033
67,s13,24,Male,0,dark,0.22292795102111995
68,s13,24,Male,0,man,0.2206686290446669
69,s13,24,Male,0,replied:,0.21475476189516485
70,s13,24,Male,0,"""But",0.23665188299492
71,s13,24,Male,0,I,0.2375022110063583
72,s13,24,Male,0,am,0.24832681682892144
73,s13,24,Male,0,no,0.2162532559596002
74,s13,24,Male,0,"stranger,",0.23551514907740057
75,s13,24,Male,0,you,0.21512557193636897
76,s13,24,Male,0,already,0.5133258928544819
77,s13,24,Male,0,know,0.23236273601651192
78,s13,24,Male,0,me,0.24743719398975372
79,s13,24,Male,0,very,0.23913010116666555
80,s13,24,Male,0,"well"".",0.1921818999107927
81,s13,24,Male,0,With,0.29058532090857625
82,s13,24,Male,0,a,0.2631082539446652
83,s13,24,Male,0,new,0.27709131711162627
84,s13,24,Male,0,look,0.26333772484213114
85,s13,24,Male,0,Thomas,0.24053350510075688
86,s13,24,Male,0,inspected,0.23734760005027056
87,s13,24,Male,0,the,0.2364326030947268
88,s13,24,Male,0,mysterious,0.2349416220095009
89,s13,24,Male,0,figure,0.23937551397830248
90,s13,24,Male,0,and,0.2265363100450486
91,s13,24,Male,0,out,0.218693682923913
92,s13,24,Male,0,of,0.2535825539380312
93,s13,24,Male,0,thin,0.22652351297438145
