...1,ID,Age,Gender,Condition,ReactionTime,Word
0,s8,58,Male,0,7.393283225996129,Once
1,s8,58,Male,0,1.3582742890066584,upon
2,s8,58,Male,0,0.5236608620034531,a
3,s8,58,Male,0,0.4662280489937984,time
4,s8,58,Male,0,0.5087936650015763,there
5,s8,58,Male,0,0.41687714099680306,was
6,s8,58,Male,0,0.4234140619955724,a
7,s8,58,Male,0,0.46450466100213816,boy
8,s8,58,Male,0,0.5116634560035891,named
9,s8,58,Male,0,0.5553281480024452,Thomas.
10,s8,58,Male,0,0.5302574899978936,One
11,s8,58,Male,0,0.4866381989995716,day
12,s8,58,Male,0,0.47524105100455927,walking
13,s8,58,Male,0,0.4904831699968782,home
14,s8,58,Male,0,0.4707443649967899,from
15,s8,58,Male,0,0.42213033100415487,school
16,s8,58,Male,0,0.44810775999940233,he
17,s8,58,Male,0,0.4062357009970583,stopped
18,s8,58,Male,0,0.4617529679962899,at
19,s8,58,Male,0,0.4440819149967865,a
20,s8,58,Male,0,0.469598652998684,red
21,s8,58,Male,0,0.49687319800432306,light
22,s8,58,Male,0,0.458728624995274,and
23,s8,58,Male,0,0.4787245449988404,took
24,s8,58,Male,0,0.45537200500257313,a
25,s8,58,Male,0,0.4544306960015092,deep
26,s8,58,Male,0,0.7738884060017881,breath.
27,s8,58,Male,0,0.5336443499982124,A
28,s8,58,Male,0,0.4176469270023518,tall
29,s8,58,Male,0,0.5499014330052887,dark
30,s8,58,Male,0,0.4867703139971127,man
31,s8,58,Male,0,0.5138853780008503,noticed
32,s8,58,Male,0,0.4574608890034142,Thomas'
33,s8,58,Male,0,0.6620080249995226,explicit
34,s8,58,Male,0,0.678309798000555,face
35,s8,58,Male,0,0.6371789100012393,expression
36,s8,58,Male,0,0.5438939809973817,and
37,s8,58,Male,0,0.69217088699952,asked:
38,s8,58,Male,0,0.6297565510030836,"""Are"
39,s8,58,Male,0,0.47090439099702053,you
40,s8,58,Male,0,0.5464261279994389,okay
41,s8,58,Male,0,0.8365266529945075,"son?"""
42,s8,58,Male,0,1.0768728190014372,Thomas
43,s8,58,Male,0,1.1647913579945453,reacted
44,s8,58,Male,0,0.47290202799922554,with
45,s8,58,Male,0,0.5245030419973773,a
46,s8,58,Male,0,0.5553803779985174,little
47,s8,58,Male,0,3.052909283003828,squeak
48,s8,58,Male,0,0.5460734730004333,and
